Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Expected_xG,Expected_xAG
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
William Gomes,br BRA,Porto,FW,19,8,4,389,2,0,0,2,0,1.1,0.3
Sergi Gómez,es ESP,Alverca,DF,33,10,10,880,0,0,0,1,0,0.0,0.2
Victor Gomez,es ESP,Braga,DF,25,11,8,769,1,0,0,1,0,0.4,0.6
Franscisco Gonçalves,pt POR,Nacional,DF,21,2,1,102,0,0,0,1,0,0.0,0.0
João Gonçalves,pt POR,AVS Futebol,GK,25,3,3,270,0,0,0,0,0,0.0,0.0
Pedro Gonçalves,pt POR,Sporting CP,"FW,MF",27,11,11,899,8,5,1,3,0,5.7,3.9
Jean Gorby,fr FRA,Braga,MF,23,11,9,743,0,0,0,3,0,0.3,0.4
João Goulart Silva,pt POR,Casa Pia,DF,25,6,5,374,0,0,0,2,0,0.1,0.0
Tiago Gouveia,pt POR,Benfica,MF,24,1,0,1,0,0,0,0,0,0.0,0.0
Jimi Gower,eng ENG,Moreirense,FW,21,1,0,11,0,0,0,0,0,0.0,0.0
Pablo Gozalbez,es ESP,Arouca,MF,24,8,4,310,0,0,0,1,0,0.9,0.1
João Graça,pt POR,Rio Ave,"MF,FW",30,3,0,37,0,0,0,0,0,0.0,0.0
Jaume Grau,es ESP,AVS Futebol,MF,28,11,11,965,0,0,0,3,0,0.3,0.2
Florian Grillitsch,at AUT,Braga,"MF,FW",30,5,2,217,0,0,0,1,0,0.2,0.0
Marc Gual,es ESP,Rio Ave,FW,29,9,1,159,0,0,0,0,0,0.2,0.0
Davy Gui,ci CIV,Alverca,MF,19,10,1,274,1,0,0,1,0,0.8,0.1
Rafik Guitane,fr FRA,Estoril,"FW,MF",26,10,6,437,2,2,0,0,0,0.8,1.6
Deniz Gül,tr TUR,Porto,FW,21,8,0,159,2,0,0,1,0,1.0,0.5
Justin de Haas,nl NED,Famalicão,DF,25,9,9,810,2,0,0,1,0,0.7,0.0
Tomás Händel,pt POR,Vitória,MF,24,3,3,270,0,1,0,0,0,0.2,0.3
Conrad Harder,dk DEN,Sporting CP,FW,20,4,0,62,1,0,0,0,0,0.8,0.0
Morten Hjulmand,dk DEN,Sporting CP,MF,26,11,11,990,2,1,0,3,0,1.0,0.7
Joseph Hodge,ie IRL,Tondela,MF,23,5,4,303,0,0,0,0,0,0.1,0.2
