Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Gls,Ast
Issiar Dramé,ml MLI,Estrela,DF,26-343,1,0,400,0,0,0,0,0,0.00,0.00
Diego Duarte,py PAR,AVS Futebol,FW,23-292,12,2,38500,1,0,0,0,0,0.23,0.00
Tiago Duarte,pt POR,Santa Clara,FW,21-269,1,0,1600,0,0,0,0,0,0.00,0.00
Edson,mz MOZ,AVS Futebol,DF,22-044,1,1,8000,0,0,0,0,0,0.00,0.00
Carlos Eduardo,br BRA,Gil Vicente FC,FW,23-168,4,0,3800,1,0,0,0,0,2.37,0.00
Espen van Ee,nl NED,Arouca,MF,22-204,12,8,67300,1,1,0,3,0,0.13,0.13
Marvin Elimbi,fr FRA,Gil Vicente FC,DF,22-339,16,16,144,0,0,0,3,0,0.00,0.00
Simon Elisor,fr FRA,Famalicão,FW,26-187,17,11,95200,1,1,0,2,0,0.09,0.09
Jefferson Encada,gw GNB,Estrela,"DF,MF",27-283,14,9,78100,0,1,0,2,0,0.00,0.12
Jordi Escobar,es ESP,AVS Futebol,FW,23-349,5,2,15300,0,0,0,0,0,0.00,0.00
Tiago Esgaio,pt POR,Arouca,DF,30-177,17,15,139,0,1,0,8,0,0.00,0.06
Antonio Espigare,es ESP,Gil Vicente FC,DF,21-142,9,5,51900,1,0,0,0,0,0.17,0.00
Gonçalo Esteves,pt POR,Alverca,MF,21-332,5,2,16300,1,0,0,1,0,0.55,0.00
Luís Esteves,pt POR,Gil Vicente FC,MF,27-291,17,17,142,3,5,0,2,1,0.19,0.32
Stephen Eustáquio,ca CAN,Porto,MF,29-035,7,0,18100,0,0,0,0,0,0.00,0.00
Omar Fayed,eg EGY,Arouca,DF,22-205,7,5,49400,0,0,0,3,0,0.00,0.00
Vando Félix,gw GNB,Vitória Guimarães,MF,23-144,8,3,33900,0,0,0,3,0,0.00,0.00
Joelson Fernandes,pt POR,Gil Vicente FC,"MF,FW",22-331,13,8,67500,1,1,0,3,0,0.13,0.13
Martim Fernandes,pt POR,Porto,DF,20-007,11,6,55400,0,0,0,3,1,0.00,0.00
